fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3931.0,201708.0,2.4552,-1.9997,-2.1008,-2.2834,0.3546,-0.6551,-1.9579,3.53,-0.41
3931.0,201709.0,-0.1997,7.821,9.8655,8.4296,2.5157,4.1298,4.5581,-1.23,2.8
3931.0,201710.0,4.6023,-1.6289,0.3666,0.3082,2.2918,1.458,1.7178,4.3,-0.79
3931.0,201711.0,1.5782,2.4251,2.8899,4.0941,4.1918,3.7667,3.1984,-0.75,0.3
3931.0,201712.0,0.0608,1.4001,-0.3427,1.7271,0.9457,0.8373,1.2083,-1.62,-0.86
3931.0,201801.0,8.3206,2.1066,2.3664,2.6344,5.1922,4.0528,3.3308,3.94,0.57
3931.0,201802.0,-2.3563,-3.9537,-4.0959,-3.5894,-3.4666,-4.3996,-4.5239,3.98,-0.99
3931.0,201803.0,-3.0888,1.4024,1.7771,0.977,-0.4391,-0.5834,-0.3663,-1.28,0.33
3931.0,201804.0,1.3944,0.4733,0.8323,1.3597,-0.3442,-0.155,0.4419,0.27,-0.54
3931.0,201805.0,4.4695,7.9327,6.6084,4.1766,3.3763,2.0795,1.3378,3.77,-0.2
3931.0,201806.0,0.6582,1.6495,-0.1278,0.7157,1.317,0.6976,-0.9024,-2.41,0.9
3931.0,201807.0,2.1018,-0.4172,0.3703,0.1197,2.5255,3.0834,2.0046,-1.62,1.5
3931.0,201808.0,4.4373,6.3336,3.1688,1.3424,5.646,1.7389,1.6068,5.29,1.29
3931.0,201809.0,0.6132,-0.8417,-2.9806,-2.4214,-0.1477,-1.1687,-1.6889,-0.07,0.24
3931.0,201810.0,-9.926,-13.4735,-10.9562,-8.7567,-10.028,-7.0165,-8.2994,-1.82,1.27
3931.0,201811.0,1.8366,-1.5719,0.433,-2.0924,2.7689,2.3611,1.4581,-1.4,1.07
3931.0,201812.0,-8.6286,-14.791,-13.5017,-13.2842,-9.7363,-10.3906,-13.242,1.73,-1.94
3937.0,201401.0,-2.0486,3.1688,-1.7031,0.0832,-2.6291,-2.1726,-4.2702,1.72,0.26
3937.0,201402.0,5.3988,4.1841,4.1468,4.2589,5.9498,5.1883,4.4915,2.08,-0.28
3937.0,201403.0,-2.3535,-2.2949,0.9,1.3472,-1.5496,0.9836,3.884,-3.3,2.65
3937.0,201404.0,-1.1342,-6.8028,-4.2106,-3.6091,-1.7946,0.1248,-0.1975,-3.85,-2.12
3937.0,201405.0,3.4417,-1.3404,-0.1702,-0.5012,2.0158,1.9663,1.0761,1.15,0.51
3937.0,201406.0,3.1885,6.385,4.1324,3.7489,3.6299,3.6471,4.1815,0.68,-0.65
3937.0,201407.0,-0.8061,-6.7747,-5.8726,-3.726,-3.3274,-3.1668,-3.9457,-0.24,2.73
3937.0,201408.0,4.6501,4.3266,4.1196,3.4057,5.8073,4.0766,4.5992,0.82,1.53
3937.0,201409.0,-1.5531,-5.8058,-5.3837,-4.6317,-2.9052,-3.8608,-4.4192,0.53,-0.17
3937.0,201410.0,1.3585,4.4862,4.4758,2.1599,3.0324,2.4214,1.5339,0.0,-2.72
3937.0,201411.0,3.3722,0.0513,-0.796,-1.278,2.6369,1.7011,-0.7046,1.05,-3.43
3937.0,201412.0,-0.6985,2.2819,3.6142,1.9608,-0.0193,-0.047,0.7699,1.06,-1.06
3937.0,201501.0,-1.3151,-2.746,-4.3387,-3.8753,-1.9822,-3.0606,-4.1574,3.87,-0.47
3937.0,201502.0,6.6634,7.2841,7.0884,4.9184,7.7542,7.496,5.8195,-2.84,3.61
3937.0,201503.0,0.1388,0.1998,0.2261,0.4395,-0.0826,-0.3752,-1.1619,2.98,-0.16
3937.0,201504.0,-0.878,-0.011,-0.8572,1.0378,-0.4237,0.7573,1.6668,-7.37,4.11
3937.0,201505.0,3.4033,1.3103,1.5692,-0.5727,1.4721,1.4979,-0.3604,6.01,2.64
3937.0,201506.0,-1.1271,1.7725,-0.0268,-0.0875,-1.4133,-2.1367,-2.5019,3.04,-3.51
3937.0,201507.0,2.4624,-2.1415,-3.9329,-5.2759,2.1719,-0.9758,-1.7963,10.28,-5.2
3937.0,201508.0,-7.0761,-7.4915,-4.0004,-1.5925,-6.5035,-4.6158,-5.2071,-2.07,1.64
3937.0,201509.0,-3.4004,-8.1679,-5.4658,-4.8122,-4.1098,-4.6727,-4.9421,5.32,-3.34
3937.0,201510.0,8.23,4.8166,5.4553,4.3989,6.2262,7.2314,5.3212,-3.97,0.88
3937.0,201511.0,1.0994,5.2917,2.0175,2.0833,0.9503,-0.4823,1.5197,2.28,0.02
3937.0,201512.0,2.0062,-4.8879,-5.0326,-5.1763,-2.2015,-4.226,-5.9517,3.44,1.06
3937.0,201601.0,-7.1429,-12.6937,-9.6057,-7.929,-8.3971,-5.9705,-8.565,1.37,-2.78
3937.0,201602.0,-2.0833,-0.778,1.378,-0.5906,1.3759,1.8052,-0.8554,-4.09,-0.74
3937.0,201603.0,6.4375,7.0497,8.2533,8.2204,6.778,9.1568,13.4578,-5.14,1.52
3937.0,201604.0,-1.1789,3.767,3.1839,5.2438,0.9051,2.4823,6.4891,-6.23,0.16
3937.0,201605.0,2.749,0.9958,0.6244,-0.7584,2.4096,0.9323,1.2869,1.94,0.14
3937.0,201606.0,-1.7163,-2.3322,-0.7117,1.7359,-0.8664,-0.6354,-3.1743,4.21,1.54
3937.0,201607.0,5.0334,5.8402,6.0885,6.4018,5.084,3.5835,4.6082,-3.06,4.46
3937.0,201608.0,-0.4401,0.9718,2.767,3.4496,0.2997,0.6195,2.1819,-3.11,-0.34
3937.0,201609.0,1.3752,4.9983,2.5463,1.8764,-0.1066,0.8081,0.6506,-0.55,0.09
3937.0,201610.0,-2.6647,-9.6114,-6.7332,-3.8473,-3.2981,-1.6866,-2.2328,0.65,2.7
3937.0,201611.0,0.1493,6.5506,10.2305,11.929,4.4373,7.404,12.2853,-4.22,-0.01
3937.0,201612.0,0.5264,-0.6901,2.565,4.4512,0.6549,1.4397,1.6994,-0.39,-1.05
3937.0,201701.0,5.3838,2.3268,0.5085,1.1191,3.3549,1.8839,1.5333,-0.97,3.39
3937.0,201702.0,3.6424,3.4229,1.6874,0.3129,3.8069,2.1723,2.4413,-1.65,-1.11
3937.0,201703.0,1.6887,1.3505,1.032,0.3507,0.689,-0.1914,-1.4823,-0.88,-0.98
3937.0,201704.0,2.693,0.9702,0.3093,-0.1253,1.9798,0.7714,-1.7642,0.51,-2.19
3937.0,201705.0,3.1906,-2.4478,-2.9979,-2.8881,1.9433,-0.5916,-2.4836,1.47,-3.59
3937.0,201706.0,-0.9742,6.0265,4.1818,4.027,1.3422,1.6843,2.9574,-0.25,4.01
3937.0,201707.0,3.2506,-1.2602,-0.5901,-0.4316,1.3758,1.3857,2.4558,1.63,2.06
3937.0,201708.0,2.5269,-1.9997,-2.1008,-2.2834,0.3546,-0.6551,-1.9579,3.53,-0.41
3937.0,201709.0,-0.1212,7.821,9.8655,8.4296,2.5157,4.1298,4.5581,-1.23,2.8
3937.0,201710.0,4.6521,-1.6289,0.3666,0.3082,2.2918,1.458,1.7178,4.3,-0.79
3937.0,201711.0,1.6235,2.4251,2.8899,4.0941,4.1918,3.7667,3.1984,-0.75,0.3
3937.0,201712.0,0.1266,1.4001,-0.3427,1.7271,0.9457,0.8373,1.2083,-1.62,-0.86
3937.0,201801.0,8.3942,2.1066,2.3664,2.6344,5.1922,4.0528,3.3308,3.94,0.57
3937.0,201802.0,-2.3195,-3.9537,-4.0959,-3.5894,-3.4666,-4.3996,-4.5239,3.98,-0.99
3937.0,201803.0,-3.0257,1.4024,1.7771,0.977,-0.4391,-0.5834,-0.3663,-1.28,0.33
3937.0,201804.0,1.4613,0.4733,0.8323,1.3597,-0.3442,-0.155,0.4419,0.27,-0.54
3937.0,201805.0,4.5543,7.9327,6.6084,4.1766,3.3763,2.0795,1.3378,3.77,-0.2
3937.0,201806.0,0.7074,1.6495,-0.1278,0.7157,1.317,0.6976,-0.9024,-2.41,0.9
3937.0,201807.0,2.1442,-0.4172,0.3703,0.1197,2.5255,3.0834,2.0046,-1.62,1.5
3937.0,201808.0,4.4879,6.3336,3.1688,1.3424,5.646,1.7389,1.6068,5.29,1.29
3937.0,201809.0,0.6928,-0.8417,-2.9806,-2.4214,-0.1477,-1.1687,-1.6889,-0.07,0.24
3937.0,201810.0,-9.8383,-13.4735,-10.9562,-8.7567,-10.028,-7.0165,-8.2994,-1.82,1.27
3937.0,201811.0,1.9077,-1.5719,0.433,-2.0924,2.7689,2.3611,1.4581,-1.4,1.07
3937.0,201812.0,-8.6007,-14.791,-13.5017,-13.2842,-9.7363,-10.3906,-13.242,1.73,-1.94
3941.0,201401.0,-2.0891,3.1688,-1.7031,0.0832,-2.6291,-2.1726,-4.2702,1.72,0.26
3941.0,201402.0,5.3341,4.1841,4.1468,4.2589,5.9498,5.1883,4.4915,2.08,-0.28
3941.0,201403.0,-2.452,-2.2949,0.9,1.3472,-1.5496,0.9836,3.884,-3.3,2.65
3941.0,201404.0,-1.2022,-6.8028,-4.2106,-3.6091,-1.7946,0.1248,-0.1975,-3.85,-2.12
3941.0,201405.0,3.3739,-1.3404,-0.1702,-0.5012,2.0158,1.9663,1.0761,1.15,0.51
3941.0,201406.0,3.1033,6.385,4.1324,3.7489,3.6299,3.6471,4.1815,0.68,-0.65
3941.0,201407.0,-0.8303,-6.7747,-5.8726,-3.726,-3.3274,-3.1668,-3.9457,-0.24,2.73
3941.0,201408.0,4.5526,4.3266,4.1196,3.4057,5.8073,4.0766,4.5992,0.82,1.53
3941.0,201409.0,-1.6517,-5.8058,-5.3837,-4.6317,-2.9052,-3.8608,-4.4192,0.53,-0.17
3941.0,201410.0,1.3232,4.4862,4.4758,2.1599,3.0324,2.4214,1.5339,0.0,-2.72
3941.0,201411.0,3.3149,0.0513,-0.796,-1.278,2.6369,1.7011,-0.7046,1.05,-3.43
3941.0,201412.0,-0.7704,2.2819,3.6142,1.9608,-0.0193,-0.047,0.7699,1.06,-1.06
3941.0,201501.0,-1.3953,-2.746,-4.3387,-3.8753,-1.9822,-3.0606,-4.1574,3.87,-0.47
3941.0,201502.0,6.6038,7.2841,7.0884,4.9184,7.7542,7.496,5.8195,-2.84,3.61
3941.0,201503.0,0.1106,0.1998,0.2261,0.4395,-0.0826,-0.3752,-1.1619,2.98,-0.16
3941.0,201504.0,-0.9392,-0.011,-0.8572,1.0378,-0.4237,0.7573,1.6668,-7.37,4.11
3941.0,201505.0,3.2906,1.3103,1.5692,-0.5727,1.4721,1.4979,-0.3604,6.01,2.64
3941.0,201506.0,-1.1879,1.7725,-0.0268,-0.0875,-1.4133,-2.1367,-2.5019,3.04,-3.51
3941.0,201507.0,2.4044,-2.1415,-3.9329,-5.2759,2.1719,-0.9758,-1.7963,10.28,-5.2
3941.0,201508.0,-7.1505,-7.4915,-4.0004,-1.5925,-6.5035,-4.6158,-5.2071,-2.07,1.64
3941.0,201509.0,-3.4483,-8.1679,-5.4658,-4.8122,-4.1098,-4.6727,-4.9421,5.32,-3.34
3941.0,201510.0,8.1548,4.8166,5.4553,4.3989,6.2262,7.2314,5.3212,-3.97,0.88
3941.0,201511.0,1.0457,5.2917,2.0175,2.0833,0.9503,-0.4823,1.5197,2.28,0.02
3941.0,201512.0,2.5699,-4.8879,-5.0326,-5.1763,-2.2015,-4.226,-5.9517,3.44,1.06
3941.0,201601.0,-7.1602,-12.6937,-9.6057,-7.929,-8.3971,-5.9705,-8.565,1.37,-2.78
3941.0,201602.0,-2.1569,-0.778,1.378,-0.5906,1.3759,1.8052,-0.8554,-4.09,-0.74
3941.0,201603.0,6.346,7.0497,8.2533,8.2204,6.778,9.1568,13.4578,-5.14,1.52
3941.0,201604.0,-1.2563,3.767,3.1839,5.2438,0.9051,2.4823,6.4891,-6.23,0.16
3941.0,201605.0,2.7354,0.9958,0.6244,-0.7584,2.4096,0.9323,1.2869,1.94,0.14
3941.0,201606.0,-1.7957,-2.3322,-0.7117,1.7359,-0.8664,-0.6354,-3.1743,4.21,1.54
3941.0,201607.0,4.9811,5.8402,6.0885,6.4018,5.084,3.5835,4.6082,-3.06,4.46
3941.0,201608.0,-0.5405,0.9718,2.767,3.4496,0.2997,0.6195,2.1819,-3.11,-0.34
3941.0,201609.0,1.2681,4.9983,2.5463,1.8764,-0.1066,0.8081,0.6506,-0.55,0.09
3941.0,201610.0,-2.6834,-9.6114,-6.7332,-3.8473,-3.2981,-1.6866,-2.2328,0.65,2.7
3941.0,201611.0,0.0,6.5506,10.2305,11.929,4.4373,7.404,12.2853,-4.22,-0.01
3941.0,201612.0,0.4647,-0.6901,2.565,4.4512,0.6549,1.4397,1.6994,-0.39,-1.05
3941.0,201701.0,5.3604,2.3268,0.5085,1.1191,3.3549,1.8839,1.5333,-0.97,3.39
3941.0,201702.0,3.5673,3.4229,1.6874,0.3129,3.8069,2.1723,2.4413,-1.65,-1.11
3941.0,201703.0,1.6375,1.3505,1.032,0.3507,0.689,-0.1914,-1.4823,-0.88,-0.98
3941.0,201704.0,2.6111,0.9702,0.3093,-0.1253,1.9798,0.7714,-1.7642,0.51,-2.19
3941.0,201705.0,3.1402,-2.4478,-2.9979,-2.8881,1.9433,-0.5916,-2.4836,1.47,-3.59
3941.0,201706.0,-1.1024,6.0265,4.1818,4.027,1.3422,1.6843,2.9574,-0.25,4.01
3941.0,201707.0,3.2378,-1.2602,-0.5901,-0.4316,1.3758,1.3857,2.4558,1.63,2.06
3941.0,201708.0,2.4679,-1.9997,-2.1008,-2.2834,0.3546,-0.6551,-1.9579,3.53,-0.41
3941.0,201709.0,-0.1505,7.821,9.8655,8.4296,2.5157,4.1298,4.5581,-1.23,2.8
3941.0,201710.0,4.5729,-1.6289,0.3666,0.3082,2.2918,1.458,1.7178,4.3,-0.79
3941.0,201711.0,1.5858,2.4251,2.8899,4.0941,4.1918,3.7667,3.1984,-0.75,0.3
3941.0,201712.0,0.0569,1.4001,-0.3427,1.7271,0.9457,0.8373,1.2083,-1.62,-0.86
3941.0,201801.0,8.3633,2.1066,2.3664,2.6344,5.1922,4.0528,3.3308,3.94,0.57
3941.0,201802.0,-2.4148,-3.9537,-4.0959,-3.5894,-3.4666,-4.3996,-4.5239,3.98,-0.99
3941.0,201803.0,-3.0568,1.4024,1.7771,0.977,-0.4391,-0.5834,-0.3663,-1.28,0.33
3941.0,201804.0,1.3514,0.4733,0.8323,1.3597,-0.3442,-0.155,0.4419,0.27,-0.54
3941.0,201805.0,4.4938,7.9327,6.6084,4.1766,3.3763,2.0795,1.3378,3.77,-0.2
3941.0,201806.0,0.6616,1.6495,-0.1278,0.7157,1.317,0.6976,-0.9024,-2.41,0.9
3941.0,201807.0,2.0657,-0.4172,0.3703,0.1197,2.5255,3.0834,2.0046,-1.62,1.5
3941.0,201808.0,4.4158,6.3336,3.1688,1.3424,5.646,1.7389,1.6068,5.29,1.29
3941.0,201809.0,0.6608,-0.8417,-2.9806,-2.4214,-0.1477,-1.1687,-1.6889,-0.07,0.24
3941.0,201810.0,-9.8906,-13.4735,-10.9562,-8.7567,-10.028,-7.0165,-8.2994,-1.82,1.27
3941.0,201811.0,1.797,-1.5719,0.433,-2.0924,2.7689,2.3611,1.4581,-1.4,1.07
3941.0,201812.0,-8.6272,-14.791,-13.5017,-13.2842,-9.7363,-10.3906,-13.242,1.73,-1.94
3945.0,201401.0,-2.1445,3.1688,-1.7031,0.0832,-2.6291,-2.1726,-4.2702,1.72,0.26
3945.0,201402.0,5.5363,4.1841,4.1468,4.2589,5.9498,5.1883,4.4915,2.08,-0.28
3945.0,201403.0,-2.3315,-2.2949,0.9,1.3472,-1.5496,0.9836,3.884,-3.3,2.65
3945.0,201404.0,-1.0071,-6.8028,-4.2106,-3.6091,-1.7946,0.1248,-0.1975,-3.85,-2.12
3945.0,201405.0,3.4288,-1.3404,-0.1702,-0.5012,2.0158,1.9663,1.0761,1.15,0.51
3945.0,201406.0,3.133,6.385,4.1324,3.7489,3.6299,3.6471,4.1815,0.68,-0.65
3945.0,201407.0,-0.7418,-6.7747,-5.8726,-3.726,-3.3274,-3.1668,-3.9457,-0.24,2.73
3945.0,201408.0,4.5907,4.3266,4.1196,3.4057,5.8073,4.0766,4.5992,0.82,1.53
3945.0,201409.0,-1.4291,-5.8058,-5.3837,-4.6317,-2.9052,-3.8608,-4.4192,0.53,-0.17
3945.0,201410.0,1.2772,4.4862,4.4758,2.1599,3.0324,2.4214,1.5339,0.0,-2.72
3945.0,201411.0,3.3061,0.0513,-0.796,-1.278,2.6369,1.7011,-0.7046,1.05,-3.43
3945.0,201412.0,-0.6414,2.2819,3.6142,1.9608,-0.0193,-0.047,0.7699,1.06,-1.06
3945.0,201501.0,-1.4909,-2.746,-4.3387,-3.8753,-1.9822,-3.0606,-4.1574,3.87,-0.47
3945.0,201502.0,6.5834,7.2841,7.0884,4.9184,7.7542,7.496,5.8195,-2.84,3.61
3945.0,201503.0,0.1065,0.1998,0.2261,0.4395,-0.0826,-0.3752,-1.1619,2.98,-0.16
3945.0,201504.0,-0.8511,-0.011,-0.8572,1.0378,-0.4237,0.7573,1.6668,-7.37,4.11
3945.0,201505.0,3.3977,1.3103,1.5692,-0.5727,1.4721,1.4979,-0.3604,6.01,2.64
3945.0,201506.0,-1.0723,1.7725,-0.0268,-0.0875,-1.4133,-2.1367,-2.5019,3.04,-3.51
3945.0,201507.0,2.5175,-2.1415,-3.9329,-5.2759,2.1719,-0.9758,-1.7963,10.28,-5.2
3945.0,201508.0,-7.06,-7.4915,-4.0004,-1.5925,-6.5035,-4.6158,-5.2071,-2.07,1.64
3945.0,201509.0,-3.3394,-8.1679,-5.4658,-4.8122,-4.1098,-4.6727,-4.9421,5.32,-3.34
3945.0,201510.0,8.1245,4.8166,5.4553,4.3989,6.2262,7.2314,5.3212,-3.97,0.88
3945.0,201511.0,1.1587,5.2917,2.0175,2.0833,0.9503,-0.4823,1.5197,2.28,0.02
3945.0,201512.0,4.3826,-4.8879,-5.0326,-5.1763,-2.2015,-4.226,-5.9517,3.44,1.06
3945.0,201601.0,-7.0997,-12.6937,-9.6057,-7.929,-8.3971,-5.9705,-8.565,1.37,-2.78
3945.0,201602.0,-1.9919,-0.778,1.378,-0.5906,1.3759,1.8052,-0.8554,-4.09,-0.74
3945.0,201603.0,6.3874,7.0497,8.2533,8.2204,6.778,9.1568,13.4578,-5.14,1.52
3945.0,201604.0,-1.0916,3.767,3.1839,5.2438,0.9051,2.4823,6.4891,-6.23,0.16
3945.0,201605.0,2.7197,0.9958,0.6244,-0.7584,2.4096,0.9323,1.2869,1.94,0.14
3945.0,201606.0,-1.7268,-2.3322,-0.7117,1.7359,-0.8664,-0.6354,-3.1743,4.21,1.54
3945.0,201607.0,5.1542,5.8402,6.0885,6.4018,5.084,3.5835,4.6082,-3.06,4.46
3945.0,201608.0,-0.557,0.9718,2.767,3.4496,0.2997,0.6195,2.1819,-3.11,-0.34
3945.0,201609.0,1.3443,4.9983,2.5463,1.8764,-0.1066,0.8081,0.6506,-0.55,0.09
3945.0,201610.0,-2.5792,-9.6114,-6.7332,-3.8473,-3.2981,-1.6866,-2.2328,0.65,2.7
3945.0,201611.0,0.0756,6.5506,10.2305,11.929,4.4373,7.404,12.2853,-4.22,-0.01
3945.0,201612.0,0.5362,-0.6901,2.565,4.4512,0.6549,1.4397,1.6994,-0.39,-1.05
3945.0,201701.0,5.4146,2.3268,0.5085,1.1191,3.3549,1.8839,1.5333,-0.97,3.39
3945.0,201702.0,3.6279,3.4229,1.6874,0.3129,3.8069,2.1723,2.4413,-1.65,-1.11
3945.0,201703.0,1.5945,1.3505,1.032,0.3507,0.689,-0.1914,-1.4823,-0.88,-0.98
3945.0,201704.0,2.6953,0.9702,0.3093,-0.1253,1.9798,0.7714,-1.7642,0.51,-2.19
3945.0,201705.0,3.0897,-2.4478,-2.9979,-2.8881,1.9433,-0.5916,-2.4836,1.47,-3.59
3945.0,201706.0,-0.8701,6.0265,4.1818,4.027,1.3422,1.6843,2.9574,-0.25,4.01
3945.0,201707.0,3.2835,-1.2602,-0.5901,-0.4316,1.3758,1.3857,2.4558,1.63,2.06
3945.0,201708.0,2.4237,-1.9997,-2.1008,-2.2834,0.3546,-0.6551,-1.9579,3.53,-0.41
3945.0,201709.0,-0.2151,7.821,9.8655,8.4296,2.5157,4.1298,4.5581,-1.23,2.8
3945.0,201710.0,4.5889,-1.6289,0.3666,0.3082,2.2918,1.458,1.7178,4.3,-0.79
3945.0,201711.0,1.7373,2.4251,2.8899,4.0941,4.1918,3.7667,3.1984,-0.75,0.3
3945.0,201712.0,0.1479,1.4001,-0.3427,1.7271,0.9457,0.8373,1.2083,-1.62,-0.86
3945.0,201801.0,8.4824,2.1066,2.3664,2.6344,5.1922,4.0528,3.3308,3.94,0.57
3945.0,201802.0,-2.2178,-3.9537,-4.0959,-3.5894,-3.4666,-4.3996,-4.5239,3.98,-0.99
3945.0,201803.0,-3.0532,1.4024,1.7771,0.977,-0.4391,-0.5834,-0.3663,-1.28,0.33
3945.0,201804.0,1.4397,0.4733,0.8323,1.3597,-0.3442,-0.155,0.4419,0.27,-0.54
3945.0,201805.0,4.524,7.9327,6.6084,4.1766,3.3763,2.0795,1.3378,3.77,-0.2
3945.0,201806.0,0.6506,1.6495,-0.1278,0.7157,1.317,0.6976,-0.9024,-2.41,0.9
3945.0,201807.0,2.2203,-0.4172,0.3703,0.1197,2.5255,3.0834,2.0046,-1.62,1.5
3945.0,201808.0,4.4542,6.3336,3.1688,1.3424,5.646,1.7389,1.6068,5.29,1.29
3945.0,201809.0,0.6581,-0.8417,-2.9806,-2.4214,-0.1477,-1.1687,-1.6889,-0.07,0.24
3945.0,201810.0,-9.7542,-13.4735,-10.9562,-8.7567,-10.028,-7.0165,-8.2994,-1.82,1.27
3945.0,201811.0,1.8835,-1.5719,0.433,-2.0924,2.7689,2.3611,1.4581,-1.4,1.07
3945.0,201812.0,-8.5984,-14.791,-13.5017,-13.2842,-9.7363,-10.3906,-13.242,1.73,-1.94
3956.0,201401.0,-2.1704,3.1688,-1.7031,0.0832,-2.6291,-2.1726,-4.2702,1.72,0.26
3956.0,201402.0,5.5053,4.1841,4.1468,4.2589,5.9498,5.1883,4.4915,2.08,-0.28
3956.0,201403.0,-2.4143,-2.2949,0.9,1.3472,-1.5496,0.9836,3.884,-3.3,2.65
3956.0,201404.0,-1.0375,-6.8028,-4.2106,-3.6091,-1.7946,0.1248,-0.1975,-3.85,-2.12
3956.0,201405.0,3.3871,-1.3404,-0.1702,-0.5012,2.0158,1.9663,1.0761,1.15,0.51
3956.0,201406.0,3.0811,6.385,4.1324,3.7489,3.6299,3.6471,4.1815,0.68,-0.65
3956.0,201407.0,-0.7567,-6.7747,-5.8726,-3.726,-3.3274,-3.1668,-3.9457,-0.24,2.73
3956.0,201408.0,4.5749,4.3266,4.1196,3.4057,5.8073,4.0766,4.5992,0.82,1.53
